character,universe
Honey Lemon,marvel
Frog-Man,marvel
Underworld (comics),marvel
Doctor Doom,marvel
Satana (Marvel Comics),marvel
Kristoff Vernard,marvel
Venom (Marvel Comics character),marvel
list of Eternals,marvel
Equinox (comics),marvel
Andromeda (Marvel Comics),marvel
Cockroach Hamilton,marvel
Zombie (comics),marvel
Manikin (comics),marvel
Molly Hayes,marvel
Lilith (Marvel Comics),marvel
Marrina Smallwood,marvel
Amelia Voght,marvel
Dust (comics),marvel
Montana (comics),marvel
Skornn,marvel
Human Torch (android),marvel
Anna Maria Marconi,marvel
Krakoa,marvel
Grasshopper (comics),marvel
J. Jonah Jameson,marvel
Warlock (New Mutants),marvel
Spiral (comics),marvel
Human Fly (comics),marvel
Mary Jane Watson|Mary Jane Watson (Sam Raimi film series),marvel
Aleta Ogord,marvel
Morgan le Fay (Marvel Comics),marvel
Morlun,marvel
Bullseye (comics),marvel
Overkill (comics),marvel
Athena (Marvel Comics),marvel
Vanessa Fisk,marvel
Scorpio (Marvel Comics),marvel
Mephisto (comics),marvel
Sentry (comics),marvel
N'astirh,marvel
Walrus (comics),marvel
Detroit Steel,marvel
Zzzax,marvel
Sidewinder (comics),marvel
Gorr the Golden Gorilla,marvel
Spoor (comics),marvel
Capricorn (comics),marvel
Betty Brant,marvel
Brother Voodoo,marvel
Skrullian Skymaster,marvel
Kamala Khan,marvel
John Ryker,marvel
Black Jack Tarr,marvel
Captain Atlas,marvel
Ancient One,marvel
Chemistro,marvel
Mister Sinister,marvel
Galactus,marvel
Silver Sable,marvel
Surtur (Marvel Comics),marvel
Mark Hazzard: Merc,marvel
Brian Banner,marvel
Yellowjacket (Marvel Comics),marvel
Ricochet (comics),marvel
Feral (comics),marvel
Marvelman,marvel
Llyra,marvel
Mister Jip,marvel
Mountjoy (comics),marvel
Clea,marvel
Pisces (comics),marvel
Jennifer Kale,marvel
Scarlet Witch|Wanda Maximoff (Marvel Cinematic Universe),marvel
Slapstick (comics),marvel
Straw Man (comics),marvel
Sandman (Marvel Comics),marvel
Daimon Hellstrom,marvel
Daredevil (Marvel Comics character)|Kingpin (Matt Murdock),marvel
Flatman (comics),marvel
Catseye (comics),marvel
Maximus Lobo,marvel
Sigyn (Marvel Comics),marvel
Ravage 2099,marvel
Blindspot (comics),marvel
Match (Marvel Comics),marvel
Teen Abomination,marvel
H.E.R.B.I.E.,marvel
Satannish,marvel
Cameron Hodge,marvel
Pulse (Augustus),marvel
Skullfire,marvel
Mickey Fondozzi,marvel
Henry Peter Gyrich,marvel
Luna Maximoff,marvel
Northstar (Marvel Comics),marvel
Vance Astro,marvel
Zhou Cheng,marvel
Captain Universe,marvel
Lockheed (comics),marvel
Katie Power,marvel
Enclave (comics)#Crucible,marvel
Yo-Yo Rodriguez,marvel
Flux (comics),marvel
Mandrill (comics),marvel
Hala the Accuser,marvel
Letha (comics),marvel
Pod (comics),marvel
Leper Queen,marvel
Mahkizmo,marvel
Firelord (comics),marvel
Machinesmith,marvel
Longshot (Marvel Comics),marvel
Ogre (Marvel Comics),marvel
Ringmaster (comics),marvel
Millie the Model,marvel
Robbie Robertson (comics),marvel
Valerie Cooper,marvel
Solo (Marvel Comics),marvel
Delilah (comics),marvel
Union Jack (comics),marvel
Bonebreaker,marvel
Big Wheel (comics),marvel
Pinky Pinkerton,marvel
Karima Shapandar,marvel
Nightshade (Marvel Comics),marvel
Pete Wisdom,marvel
Shuma-Gorath,marvel
Meggan (character),marvel
Annex (comics),marvel
Starr the Slayer,marvel
Grog (Marvel Comics),marvel
Bushwacker (comics),marvel
Tyrone Cash,marvel
Ned Leeds,marvel
Moondragon,marvel
Komodo (comics),marvel
Futurist (comics),marvel
Nicodemus West,marvel
Stilt-Man,marvel
Pride (comics)#The Dean family,marvel
Trevor Fitzroy,marvel
Locus (comics),marvel
Ironclad (comics),marvel
Rom (comics),marvel
Dakimh the Enchanter,marvel
Mantis (Marvel Comics),marvel
Layla Miller,marvel
Peter Corbeau,marvel
U-Man,marvel
Deacon Frost,marvel
Morpheus (Marvel Comics),marvel
Brain Drain (comics),marvel
U-Foes#Vapor,marvel
Lorelei Travis,marvel
Occulus,marvel
Phantom Eagle,marvel
Master Mold,marvel
Eitri (comics),marvel
Synapse (comics),marvel
Morrat,marvel
Blink (comics),marvel
Nuke (Marvel Comics),marvel
Phaser (comics),marvel
Baron Blood,marvel
Voyager (comics),marvel
Strong Guy,marvel
Humus Sapien,marvel
Snowbird (comics),marvel
Ezekiel (comics),marvel
Gentle (comics),marvel
Red Barbarian,marvel
Deadpool,marvel
Riptide (comics),marvel
Robert Maverick,marvel
Lei Kung (comics),marvel
Charlie-27,marvel
Risque (comics),marvel
Nicholas Scratch,marvel
Murmur (Marvel Comics),marvel
Mr. Fish,marvel
Armor (comics),marvel
Spider-Woman,marvel
Scalphunter (Marvel Comics),marvel
Spencer Smythe,marvel
Devil Dinosaur,marvel
Thin Man (comics),marvel
Enchanters Three,marvel
Death Squad (comics),marvel
Captain Midlands,marvel
Pixie (X-Men),marvel
Asbestos Man,marvel
Bruce Banner,marvel
Mendel Stromm,marvel
Shape (comics),marvel
Mordred (comics),marvel
Tempo (comics),marvel
Squirrel Girl,marvel
Knull (comics),marvel
Forearm (comics),marvel
Mockingbird (Marvel Comics),marvel
Kid Cassidy,marvel
Pride (comics)#The Minoru family,marvel
Jean DeWolff,marvel
Maestro (comics),marvel
Darkoth,marvel
Volstagg,marvel
Solomon Kane (comics),marvel
Sage (comics),marvel
Speed (comics),marvel
Breeze Barton,marvel
Spitfire (comics),marvel
Peggy Carter,marvel
Wolfsbane (comics),marvel
Aldrich Killian,marvel
Gene Nation,marvel
Magician (comics),marvel
Demogoblin,marvel
Kraglin,marvel
Bloodscream,marvel
Sunfire (comics),marvel
Uni-Mind,marvel
Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),marvel
Korvus (comics),marvel
Valkyrie (Marvel Comics),marvel
Hulk 2099,marvel
U-Foes#Vector,marvel
Living Tribunal,marvel
John the Skrull,marvel
Emma Steed,marvel
Crossfire (comics),marvel
Battlestar (comics),marvel
Moon Knight,marvel
Mesmero,marvel
Overdrive (comics),marvel
Junzo Muto,marvel
Doctor Faustus (comics),marvel
Gertrude Yorkes,marvel
Raiders (comics),marvel
Ant-Man,marvel
Aleksander Lukin,marvel
Corsair (comics),marvel
Dweller-in-Darkness,marvel
Nebula (comics),marvel
Enclave (comics),marvel
Cobra (Marvel Comics),marvel
Starhawk (comics),marvel
Centurius,marvel
Spyke,marvel
Doctor Druid,marvel
Cheshire Cat (comics),marvel
Grim Hunter,marvel
Pestilence (comics),marvel
Cerise (comics),marvel
Gabriel Stacy and Sarah Stacy,marvel
Aries (comics),marvel
Stardust (Marvel Comics),marvel
Lamprey (comics),marvel
Hiro-Kala,marvel
Zabu,marvel
Starfox (comics),marvel
Damage Control (comics),marvel
Bloodaxe (comics),marvel
Burner (comics),marvel
Anya Corazon,marvel
D'Spayre,marvel
Maya Hansen,marvel
Azazel (Marvel Comics),marvel
Kiden Nixon,marvel
Star Brand,marvel
Black Rider (comics),marvel
Timeslip (comics),marvel
Chris Bradley,marvel
Tyrant (Marvel Comics),marvel
Druig,marvel
Micromax,marvel
Scarlet Spider,marvel
Lobo Brothers,marvel
Sentinel (comics),marvel
Anole (comics),marvel
Scribe (comics),marvel
Rocket Raccoon,marvel
Super-Skrull,marvel
Fixer (comics),marvel
Martha Connors,marvel
Dionysus (Marvel Comics),marvel
Jessan Hoan,marvel
Mister M (comics),marvel
Metalhead (comics),marvel
Thog (comics),marvel
Jack of Hearts (Marvel Comics),marvel
Rebecca Banner,marvel
Kestrel (Marvel Comics),marvel
Femizons#Members,marvel
Pink Pearl (comics),marvel
Dazzler (Marvel Comics),marvel
